Font: m5x7  Style: Medium
Point Size: 648   SP/PD Ratio: 0.8%

Characters included: 71/1649
Missing characters: 1578
Excluded characters: 0

Characters missing from font file:
----------------------------------------
ID: 45984	Hex: B3A0	Char [뎠]
ID: 45985	Hex: B3A1	Char [뎡]
ID: 45992	Hex: B3A8	Char [뎨]
ID: 45996	Hex: B3AC	Char [뎬]
ID: 46021	Hex: B3C5	Char [독]
ID: 46024	Hex: B3C8	Char [돈]
ID: 46027	Hex: B3CB	Char [돋]
ID: 46028	Hex: B3CC	Char [돌]
ID: 46030	Hex: B3CE	Char [돎]
ID: 46032	Hex: B3D0	Char [돐]
ID: 46036	Hex: B3D4	Char [돔]
ID: 46037	Hex: B3D5	Char [돕]
ID: 46039	Hex: B3D7	Char [돗]
ID: 46041	Hex: B3D9	Char [동]
ID: 46043	Hex: B3DB	Char [돛]
ID: 46045	Hex: B3DD	Char [돝]
ID: 46048	Hex: B3E0	Char [돠]
ID: 46052	Hex: B3E4	Char [돤]
ID: 46056	Hex: B3E8	Char [돨]
ID: 46076	Hex: B3FC	Char [돼]
ID: 46096	Hex: B410	Char [됐]
ID: 46104	Hex: B418	Char [되]
ID: 46108	Hex: B41C	Char [된]
ID: 46112	Hex: B420	Char [될]
ID: 46120	Hex: B428	Char [됨]
ID: 46121	Hex: B429	Char [됩]
ID: 46123	Hex: B42B	Char [됫]
ID: 46160	Hex: B450	Char [두]
ID: 46161	Hex: B451	Char [둑]
ID: 46164	Hex: B454	Char [둔]
ID: 46168	Hex: B458	Char [둘]
ID: 46176	Hex: B460	Char [둠]
ID: 46177	Hex: B461	Char [둡]
ID: 46179	Hex: B463	Char [둣]
ID: 46181	Hex: B465	Char [둥]
ID: 46188	Hex: B46C	Char [둬]
ID: 46208	Hex: B480	Char [뒀]
ID: 46216	Hex: B488	Char [뒈]
ID: 46237	Hex: B49D	Char [뒝]
ID: 46244	Hex: B4A4	Char [뒤]
ID: 46248	Hex: B4A8	Char [뒨]
ID: 46252	Hex: B4AC	Char [뒬]
ID: 46261	Hex: B4B5	Char [뒵]
ID: 46263	Hex: B4B7	Char [뒷]
ID: 46265	Hex: B4B9	Char [뒹]
ID: 46272	Hex: B4C0	Char [듀]
ID: 46276	Hex: B4C4	Char [듄]
ID: 46280	Hex: B4C8	Char [듈]
ID: 46288	Hex: B4D0	Char [듐]
ID: 46293	Hex: B4D5	Char [듕]
ID: 46301	Hex: B4DD	Char [득]
ID: 46304	Hex: B4E0	Char [든]
ID: 46307	Hex: B4E3	Char [듣]
ID: 46308	Hex: B4E4	Char [들]
ID: 46310	Hex: B4E6	Char [듦]
ID: 46316	Hex: B4EC	Char [듬]
ID: 46317	Hex: B4ED	Char [듭]
ID: 46319	Hex: B4EF	Char [듯]
ID: 46321	Hex: B4F1	Char [등]
ID: 46328	Hex: B4F8	Char [듸]
ID: 46356	Hex: B514	Char [디]
ID: 46357	Hex: B515	Char [딕]
ID: 46360	Hex: B518	Char [딘]
ID: 46363	Hex: B51B	Char [딛]
ID: 46364	Hex: B51C	Char [딜]
ID: 46372	Hex: B524	Char [딤]
ID: 46373	Hex: B525	Char [딥]
ID: 46375	Hex: B527	Char [딧]
ID: 46376	Hex: B528	Char [딨]
ID: 46377	Hex: B529	Char [딩]
ID: 46378	Hex: B52A	Char [딪]
ID: 46384	Hex: B530	Char [따]
ID: 46385	Hex: B531	Char [딱]
ID: 46388	Hex: B534	Char [딴]
ID: 46392	Hex: B538	Char [딸]
ID: 46400	Hex: B540	Char [땀]
ID: 46401	Hex: B541	Char [땁]
ID: 46403	Hex: B543	Char [땃]
ID: 46404	Hex: B544	Char [땄]
ID: 46405	Hex: B545	Char [땅]
ID: 46411	Hex: B54B	Char [땋]
ID: 46412	Hex: B54C	Char [때]
ID: 46413	Hex: B54D	Char [땍]
ID: 46416	Hex: B550	Char [땐]
ID: 46420	Hex: B554	Char [땔]
ID: 46428	Hex: B55C	Char [땜]
ID: 46429	Hex: B55D	Char [땝]
ID: 46431	Hex: B55F	Char [땟]
ID: 46432	Hex: B560	Char [땠]
ID: 46433	Hex: B561	Char [땡]
ID: 46496	Hex: B5A0	Char [떠]
ID: 46497	Hex: B5A1	Char [떡]
ID: 46500	Hex: B5A4	Char [떤]
ID: 46504	Hex: B5A8	Char [떨]
ID: 46506	Hex: B5AA	Char [떪]
ID: 46507	Hex: B5AB	Char [떫]
ID: 46512	Hex: B5B0	Char [떰]
ID: 46513	Hex: B5B1	Char [떱]
ID: 46515	Hex: B5B3	Char [떳]
ID: 46516	Hex: B5B4	Char [떴]
ID: 46517	Hex: B5B5	Char [떵]
ID: 46523	Hex: B5BB	Char [떻]
ID: 46524	Hex: B5BC	Char [떼]
ID: 46525	Hex: B5BD	Char [떽]
ID: 46528	Hex: B5C0	Char [뗀]
ID: 46532	Hex: B5C4	Char [뗄]
ID: 46540	Hex: B5CC	Char [뗌]
ID: 46541	Hex: B5CD	Char [뗍]
ID: 46543	Hex: B5CF	Char [뗏]
ID: 46544	Hex: B5D0	Char [뗐]
ID: 46545	Hex: B5D1	Char [뗑]
ID: 46552	Hex: B5D8	Char [뗘]
ID: 46572	Hex: B5EC	Char [뗬]
ID: 46609	Hex: B611	Char [똑]
ID: 46612	Hex: B614	Char [똔]
ID: 46616	Hex: B618	Char [똘]
ID: 46629	Hex: B625	Char [똥]
ID: 46636	Hex: B62C	Char [똬]
ID: 46644	Hex: B634	Char [똴]
ID: 46664	Hex: B648	Char [뙈]
ID: 46692	Hex: B664	Char [뙤]
ID: 46696	Hex: B668	Char [뙨]
ID: 46748	Hex: B69C	Char [뚜]
ID: 46749	Hex: B69D	Char [뚝]
ID: 46752	Hex: B6A0	Char [뚠]
